,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change
KORS,S&P; 500,9.55,3.97,3.20%,151.82M,4.15%,5.76B,7.20,5.26,-17.06%,143.27M,-15.66%,608.70M,1.51,1.58,92.00%,3.38%,-44.69%,5.08B,1.13,20.30%,1.08%,1.44,-43.06%,14.57,2.60,4.84%,14.40%,65.38,-40.33%,1.02,37.09,6.30%,28.30%,35.68 - 75.96,-39.76%,-,5.80,14.90%,21.50%,-50.08%,0.56,-,0.70,16.70%,61.20%,6.28%,1.55,8166,1.50,9.30%,15.90%,36.00,3.62% 4.30%,Yes,0.35,-31.10%,11.60%,0.63,37.92,Yes,0.23,Feb 06 BMO,0.00%,3.36M,37.92,2.40,-2.92%,-18.36%,-38.76%,0,0.00%
KR,S&P; 500,8.39,3.30,0.70%,821.74M,1.02%,22.73B,12.23,2.26,-3.38%,792.52M,-7.06%,2.74B,1.52,0.49,83.40%,5.02%,-5.85%,124.10B,0.18,-47.60%,1.00%,5.07,-3.29%,9.60,2.88,5.90%,9.90%,31.22,-0.68%,0.52,52.98,5.51%,50.70%,22.85 - 32.74,0.58%,0.56,31.18,-5.00%,7.00%,-15.52%,0.77,2.02%,0.20,4.90%,21.70%,21.05%,0.86,449000,0.70,-0.30%,3.30%,42.09,2.24% 3.22%,Yes,1.96,-11.90%,3.00%,1.31,27.35,Yes,1.52,Dec 06 BMO,11.80%,7.85M,27.66,2.50,-2.38%,-5.40%,-0.42%,"10,298,945",1.13%
KSS,S&P; 500,12.87,5.16,0.70%,164.05M,2.45%,10.89B,11.50,5.78,-6.19%,162.98M,-2.37%,860.00M,1.22,2.16,-,15.03%,-8.84%,20.18B,0.54,38.50%,-0.19%,6.26,-7.84%,33.25,2.00,4.77%,7.50%,76.83,19.31%,6.38,10.41,10.52%,18.30%,52.53 - 83.28,0.11%,2.44,8.58,0.70%,10.30%,-20.26%,1.06,3.67%,0.40,-0.20%,38.90%,26.43%,2.68,33000,1.60,1.30%,7.20%,51.43,3.58% 4.23%,Yes,0.72,38.40%,4.90%,0.96,66.37,Yes,0.70,Nov 20 BMO,39.30%,3.91M,66.41,2.50,4.86%,-4.39%,-5.79%,"3,749,463",0.06%
KSU,S&P; 500,17.05,5.68,0.20%,103.82M,1.04%,10.06B,14.08,6.88,-2.89%,101.11M,-6.42%,583.90M,1.16,1.57,90.70%,2.27%,-14.63%,2.68B,3.75,17.80%,-1.14%,1.84,-8.20%,46.88,2.07,15.11%,11.00%,123.78,-9.52%,1.03,93.93,14.70%,21.90%,90.55 - 120.34,1.52%,1.44,13.35,8.80%,8.40%,-19.48%,0.82,1.49%,1.00,2.90%,65.30%,7.01%,2.86,7130,1.30,6.50%,36.00%,49.74,2.76% 2.93%,Yes,0.56,24.50%,38.00%,0.98,92.87,Yes,0.56,Jan 18 BMO,14.50%,1.24M,96.90,2.20,0.93%,-2.31%,-10.24%,"1,220,750",4.34%
L,S&P; 500,13.62,3.35,68.54%,324.01M,1.51%,14.79B,12.34,3.70,0.00%,274.41M,-5.88%,1.09B,1.29,0.68,67.90%,1.78%,-8.97%,14.35B,1.03,49.30%,0.76%,3.70,-5.60%,59.99,0.76,20.72%,1.60%,54.00,-9.55%,1.76,25.90,10.56%,6.80%,42.06 - 53.59,0.29%,0.25,4.82,3.40%,6.10%,-14.82%,0.69,0.55%,-,-0.70%,-,8.54%,1.18,18100,-,2.40%,14.60%,51.71,1.73% 2.73%,Yes,0.60,88.80%,8.90%,0.83,44.52,Yes,0.60,Feb 04 BMO,6.40%,1.32M,45.65,2.00,1.35%,-1.97%,-7.20%,"1,099,683",2.54%
LB,S&P; 500,11.61,2.39,0.10%,278.71M,6.21%,7.72B,10.15,2.73,-0.49%,227.40M,-19.35%,677.00M,4.66,2.02,76.10%,6.55%,-5.68%,13.21B,0.58,-21.90%,-1.92%,2.70,-22.14%,-4.78,-,1.15%,9.80%,35.54,-52.36%,1.25,22.19,2.49%,-73.80%,23.71 - 53.39,7.95%,1.20,-,4.20%,25.90%,-48.10%,0.71,4.33%,0.50,3.80%,37.60%,16.87%,1.47,25200,1.40,6.00%,10.80%,44.40,4.92% 5.35%,Yes,-,-151.80%,5.80%,1.06,26.46,Yes,-,Nov 19 AMC,87.70%,5.52M,27.71,2.70,-3.20%,-11.59%,-15.50%,"5,839,162",4.72%
LEG,S&P; 500,14.58,2.50,0.90%,133.91M,1.30%,4.89B,13.78,2.65,-3.59%,129.15M,-9.06%,339.60M,2.35,0.54,81.50%,7.05%,-15.74%,4.21B,1.16,-4.40%,-1.27%,6.10,-18.65%,8.71,4.19,9.78%,8.00%,43.17,-23.31%,2.71,13.45,6.20%,24.70%,33.48 - 49.22,1.90%,1.52,62.30,9.80%,15.50%,-25.80%,1.01,4.16%,1.30,2.90%,20.70%,9.08%,1.21,22500,2.10,8.10%,11.30%,49.44,2.70% 3.48%,Yes,1.16,9.50%,6.90%,0.65,35.45,Yes,1.16,Jan 24 AMC,68.80%,1.49M,36.52,2.10,0.09%,-1.73%,-13.08%,"966,229",3.02%
LEN,S&P; 500,9.78,4.21,0.90%,330.41M,4.33%,13.62B,6.28,6.57,-1.33%,303.52M,-5.50%,1.27B,0.54,1.93,97.00%,4.75%,-10.88%,17.90B,0.76,-14.00%,-1.05%,2.89,-22.42%,42.88,0.96,33.92%,4.00%,58.13,-38.70%,3.17,12.99,18.20%,8.50%,37.29 - 72.17,5.26%,0.16,31.09,1.70%,4.90%,-42.90%,1.09,0.39%,-,25.20%,12.70%,10.51%,1.58,9111,-,73.90%,8.40%,52.31,3.87% 4.10%,Yes,0.76,29.50%,5.70%,0.91,39.55,Yes,0.76,Jan 09 BMO,5.00%,4.98M,41.21,1.80,2.20%,-0.42%,-17.11%,"4,535,054",4.20%
LH,S&P; 500,14.23,8.99,0.30%,103.66M,2.70%,13.26B,11.39,11.24,-1.29%,100.32M,-13.58%,928.50M,1.59,2.49,96.10%,2.18%,-25.52%,11.34B,1.17,2.70%,-1.72%,2.20,-29.22%,71.34,1.79,2.23%,8.60%,167.18,-21.52%,8.61,14.86,8.97%,20.40%,119.38 - 190.35,1.27%,-,9.86,3.80%,7.30%,-32.78%,1.08,-,1.40,13.00%,29.30%,7.19%,4.71,60000,1.60,8.00%,12.10%,36.70,2.63% 3.22%,Yes,0.89,87.70%,12.60%,1.30,123.70,Yes,0.83,Jan 23 BMO,0.00%,997.56K,127.96,2.30,-3.09%,-14.72%,-24.27%,"1,295,039",3.44%
LIN,S&P; 500,24.91,6.29,0.10%,569.58M,0.14%,89.21B,23.83,6.57,-,550.67M,-4.70%,1.83B,2.26,1.29,24.17%,1.26%,-,12.04B,7.41,8.90%,0.02%,2.00,-,21.63,7.24,13.11%,7.10%,172.02,-,1.05,148.69,11.00%,23.30%,145.95 - 166.85,0.38%,3.30,104.71,0.20%,12.10%,-6.13%,-,2.11%,0.70,0.40%,43.70%,7.32%,4.54,26714,0.90,3.50%,22.00%,50.57,2.33% 2.73%,Yes,1.33,9.20%,11.90%,0.52,152.29,Yes,1.06,Nov 29,65.40%,3.46M,156.63,2.40,0.52%,-0.80%,-0.80%,"1,801,275",2.85%
LKQ,S&P; 500,15.05,1.58,0.40%,318.08M,-1.08%,7.58B,9.46,2.52,-0.39%,315.10M,-15.71%,497.50M,0.45,0.50,93.80%,3.10%,-23.15%,11.34B,0.67,2.20%,0.74%,2.86,-25.83%,15.22,1.57,13.89%,5.40%,39.77,-42.66%,1.07,22.21,33.50%,12.50%,22.74 - 43.86,0.42%,-,20.19,11.60%,7.10%,-45.67%,1.26,-,1.00,18.80%,38.40%,4.79%,0.93,43000,2.60,26.60%,7.80%,39.66,3.81% 3.99%,Yes,0.90,6.60%,5.00%,0.94,22.91,Yes,0.88,Jan 24 BMO,0.00%,3.42M,23.83,1.50,-3.35%,-9.54%,-24.26%,"3,196,529",4.02%
LLL,S&P; 500,15.90,10.76,0.50%,79.74M,0.96%,13.64B,14.90,11.48,0.00%,78.21M,-6.48%,856.00M,1.01,2.75,81.90%,3.10%,-19.90%,9.00B,1.52,7.80%,-0.82%,2.66,-11.69%,71.87,2.38,11.47%,8.20%,233.85,-14.17%,6.36,26.89,15.80%,20.00%,158.76 - 223.73,-1.53%,3.20,45.60,1.10%,10.00%,-23.57%,1.13,1.87%,1.60,-6.10%,24.30%,7.71%,5.27,31000,2.00,9.90%,13.00%,42.45,2.61% 3.06%,Yes,0.00,39.90%,11.90%,0.67,167.99,Yes,0.60,Jan 24 BMO,23.10%,911.88K,171.00,2.10,-3.66%,-8.10%,-14.52%,"608,761",1.79%
LLY,S&P; 500,50.42,2.27,11.20%,1.09B,1.57%,124.50B,19.35,5.93,-3.24%,1.06B,-3.26%,2.36B,3.75,1.36,80.00%,0.81%,5.56%,24.28B,5.13,-37.00%,-0.65%,1.72,32.46%,12.82,8.94,6.13%,1.00%,117.88,34.67%,8.32,13.78,13.44%,3.50%,73.69 - 119.84,-0.92%,2.25,54.80,-15.00%,6.60%,-4.32%,0.40,1.96%,1.50,0.20%,73.40%,55.60%,3.03,40655,1.90,7.10%,12.30%,55.51,2.41% 2.69%,Yes,0.97,112.90%,1.90%,1.15,111.31,Yes,0.89,Feb 05 BMO,492.40%,5.00M,114.66,2.40,2.14%,2.59%,18.01%,"5,775,106",3.01%
LM,S&P; 500,29.65,0.90,1.00%,87.13M,5.39%,2.32B,8.01,3.32,-1.14%,83.68M,-7.83%,73.00M,1.86,0.80,86.80%,3.52%,-16.35%,3.08B,0.75,-69.20%,-3.10%,3.29,-22.83%,45.41,0.59,6.68%,3.60%,30.50,-35.66%,12.59,2.11,15.95%,7.50%,23.25 - 47.13,4.27%,1.36,6.74,17.60%,3.40%,-43.56%,1.61,5.11%,1.80,3.70%,84.60%,14.41%,0.92,3275,1.80,-51.50%,10.80%,54.09,3.12% 3.66%,Yes,0.57,-38.30%,9.30%,0.89,25.91,Yes,0.51,Jan 23 AMC,36.10%,893.71K,26.60,2.80,3.59%,-2.57%,-19.43%,"793,010",2.66%
LMT,S&P; 500,15.39,17.22,0.10%,297.57M,2.02%,78.87B,13.50,19.64,-12.74%,284.19M,-10.70%,4.94B,0.34,4.39,78.80%,0.73%,-23.72%,54.49B,1.45,5.40%,-0.44%,1.26,-11.41%,3.32,79.83,11.71%,6.90%,360.89,-17.49%,3.01,87.92,45.73%,-,241.18 - 363.00,1.22%,8.80,-,9.30%,33.10%,-26.99%,0.94,3.32%,0.90,1.60%,12.90%,9.89%,8.24,100000,1.10,16.00%,13.50%,42.24,2.34% 3.02%,Yes,15.62,54.70%,5.80%,0.87,258.08,Yes,14.30,Jan 22 BMO,72.30%,1.65M,265.04,2.00,-3.24%,-8.92%,-16.26%,"1,438,698",2.70%
LNC,S&P; 500,15.56,3.45,0.20%,216.01M,4.94%,11.61B,5.81,9.25,-0.50%,211.51M,-15.92%,757.00M,1.32,2.20,84.40%,1.45%,-22.66%,15.55B,0.75,-31.60%,-1.78%,1.39,-15.09%,69.80,0.77,8.38%,0.70%,72.57,-30.72%,6.76,7.95,11.77%,12.90%,48.07 - 86.68,4.72%,1.48,12.45,-5.10%,4.90%,-38.01%,1.84,2.75%,-,3.90%,-,11.77%,1.88,9047,-,21.10%,9.00%,47.03,2.84% 3.70%,Yes,0.39,20.10%,13.20%,1.58,50.84,Yes,0.39,Feb 06 AMC,13.60%,2.21M,53.73,2.20,1.51%,-8.26%,-17.71%,"3,490,455",5.68%
LNT,S&P; 500,19.35,2.16,0.15%,248.89M,-0.64%,10.38B,18.55,2.25,0.33%,235.69M,-9.11%,502.50M,2.80,0.36,74.10%,1.70%,-1.97%,3.52B,2.95,15.80%,1.47%,2.09,-3.89%,19.43,2.15,4.12%,3.60%,44.31,-0.05%,0.96,43.32,6.90%,12.00%,36.84 - 46.58,-1.25%,1.34,-,5.40%,6.00%,-10.44%,0.25,3.21%,0.60,1.80%,93.60%,13.25%,1.00,3989,0.70,2.40%,20.00%,38.33,2.39% 2.41%,Yes,1.29,19.60%,14.80%,0.92,41.22,Yes,1.15,Feb 05 AMC,59.10%,1.92M,41.72,3.10,-4.95%,-5.34%,-1.99%,"1,773,042",1.21%
LOW,S&P; 500,20.75,4.52,0.16%,818.65M,2.19%,76.85B,15.55,6.04,-0.41%,801.64M,-0.45%,3.70B,1.36,0.80,77.00%,1.38%,-16.00%,71.16B,1.08,18.40%,0.59%,2.07,-1.73%,6.69,14.03,18.04%,10.00%,112.46,2.01%,2.07,45.34,15.26%,64.60%,81.16 - 117.70,1.63%,1.92,19.70,19.50%,17.90%,-20.25%,1.32,2.05%,0.20,6.30%,33.90%,15.66%,2.94,200000,1.00,3.80%,8.00%,55.15,2.32% 3.57%,Yes,2.89,-25.60%,5.20%,0.77,91.17,Yes,2.68,Nov 20 BMO,48.60%,5.35M,93.87,1.90,3.44%,0.90%,-2.76%,"4,106,875",2.96%
LRCX,S&P; 500,8.09,17.07,0.20%,160.07M,3.59%,22.10B,8.25,16.74,0.00%,154.52M,-14.26%,2.92B,0.73,3.66,93.50%,3.99%,-9.27%,10.93B,2.02,78.20%,-1.05%,1.96,-19.65%,34.20,4.04,15.69%,18.60%,196.20,-28.28%,22.61,6.11,11.07%,37.50%,122.64 - 234.88,1.39%,4.40,12.02,90.50%,33.30%,-41.22%,1.43,3.19%,2.00,25.20%,46.40%,12.57%,5.98,10900,2.70,-5.90%,28.10%,49.71,3.67% 4.37%,Yes,0.45,0.40%,21.30%,0.67,131.63,Yes,0.35,Jan 23 AMC,17.60%,3.15M,138.06,2.20,1.84%,-2.94%,-18.94%,"2,122,320",4.88%
LUV,S&P; 500,12.15,3.94,0.25%,581.94M,2.26%,27.85B,9.99,4.79,-0.93%,560.66M,-11.97%,2.29B,0.76,1.06,80.70%,3.31%,-22.41%,21.54B,1.29,-2.90%,-0.42%,3.46,-7.71%,17.84,2.68,15.45%,14.20%,62.05,-26.27%,6.56,7.29,15.90%,37.50%,44.28 - 66.52,2.97%,0.64,6.84,43.80%,17.50%,-28.05%,1.27,1.34%,0.70,4.40%,72.40%,8.08%,1.65,58559,0.70,5.10%,14.70%,45.61,3.40% 3.43%,Yes,0.34,22.40%,17.20%,0.89,45.61,Yes,0.31,Jan 24 BMO,9.00%,5.35M,47.86,2.00,-1.93%,-6.10%,-12.62%,"4,750,645",4.93%
LW,S&P; 500,30.45,2.48,0.50%,150.69M,2.51%,11.39B,22.63,3.34,0.00%,145.61M,0.00%,364.60M,3.21,0.72,82.20%,1.93%,4.62%,3.52B,3.23,4.50%,-0.33%,1.30,8.16%,-1.68,-,11.41%,15.80%,78.40,34.82%,1.00,75.68,9.50%,-116.60%,52.92 - 83.86,2.75%,0.77,68.86,2.50%,18.80%,-9.87%,-,1.02%,1.00,4.30%,25.90%,42.82%,2.11,7200,1.90,11.90%,16.90%,53.14,2.15% 2.66%,Yes,-,29.70%,12.50%,1.26,72.98,Yes,-,Jan 04 BMO,25.30%,2.16M,75.58,2.50,1.65%,-2.30%,8.56%,"2,715,444",3.56%
LYB,S&P; 500,6.72,12.91,21.40%,386.05M,3.92%,33.47B,7.72,11.23,6.59%,301.54M,-8.08%,5.07B,1.01,2.41,76.60%,2.46%,-18.04%,39.26B,0.85,11.60%,-1.77%,2.46,-19.60%,28.43,3.05,-5.12%,-,104.44,-22.77%,3.79,22.85,6.66%,-,77.52 - 121.95,4.26%,4.00,14.45,15.50%,23.00%,-28.91%,1.22,4.61%,1.10,-5.30%,17.60%,11.84%,3.03,13400,1.80,19.20%,14.70%,54.27,3.04% 3.73%,Yes,0.78,6.60%,15.00%,1.18,82.26,Yes,0.68,Jan 29 BMO,25.90%,3.03M,86.70,2.60,4.28%,-2.17%,-16.21%,"3,571,193",5.40%
M,S&P; 500,8.09,3.63,0.30%,308.01M,-2.20%,9.05B,8.09,3.63,-19.80%,306.55M,-14.47%,1.12B,-,2.78,95.90%,12.39%,-12.04%,25.71B,0.35,59.70%,0.57%,4.55,-20.36%,18.39,1.60,-14.16%,8.70%,35.38,15.99%,2.39,12.30,-1.23%,29.20%,22.47 - 41.99,-1.34%,1.51,7.41,-0.40%,10.90%,-30.03%,0.77,5.14%,0.20,-2.10%,40.50%,30.75%,1.34,130000,1.30,3.00%,7.10%,39.69,4.09% 4.42%,Yes,0.98,102.90%,6.60%,1.15,29.76,Yes,0.97,Nov 14 BMO,27.30%,8.35M,29.38,2.90,-3.91%,-10.41%,-14.24%,"9,562,536",-1.28%
MA,S&P; 500,33.46,5.67,0.10%,1.04B,0.57%,196.59B,25.18,7.54,-6.53%,906.74M,-9.58%,5.96B,1.47,1.53,78.00%,0.95%,-14.96%,14.46B,13.60,18.70%,-0.27%,1.67,-4.58%,5.57,34.07,16.73%,23.00%,232.86,23.36%,8.20,23.15,22.75%,93.40%,154.32 - 225.35,0.59%,1.32,36.24,14.80%,44.00%,-15.79%,1.17,0.70%,1.60,11.10%,-,22.97%,7.50,13400,1.60,14.70%,52.40%,49.41,2.98% 3.77%,Yes,1.10,36.00%,35.90%,0.86,181.18,Yes,1.01,Jan 31 BMO,19.50%,5.15M,189.76,1.70,-0.47%,-2.66%,-3.82%,"4,452,289",4.74%
MAC,S&P; 500,66.31,0.67,0.46%,143.42M,2.36%,6.34B,61.01,0.73,-14.49%,140.26M,-12.66%,94.20M,315.77,0.30,-,7.05%,-16.67%,970.20M,6.54,-68.00%,0.58%,8.21,-23.19%,21.56,2.05,30.87%,0.90%,54.64,-32.63%,0.65,67.84,0.21%,2.50%,40.90 - 69.73,2.20%,3.00,-,-11.20%,0.70%,-36.57%,0.93,6.78%,-,4.50%,57.70%,8.14%,1.42,855,-,-0.10%,2.70%,43.01,2.77% 3.65%,Yes,1.73,326.50%,8.20%,0.86,43.60,Yes,1.73,Jan 30 AMC,522.30%,1.20M,44.23,2.70,-2.81%,-8.74%,-18.97%,"1,039,780",1.44%
MAR,S&P; 500,16.93,6.37,18.14%,347.51M,1.11%,37.47B,16.95,6.36,-0.01%,279.26M,-9.81%,2.30B,0.91,1.39,65.10%,2.68%,-13.47%,21.28B,1.76,95.40%,0.52%,3.05,-14.77%,6.70,16.09,3.33%,7.00%,135.61,-20.99%,1.07,100.44,18.57%,55.00%,100.62 - 149.21,-0.69%,1.64,29.43,24.60%,12.50%,-27.75%,1.24,1.52%,0.50,14.10%,17.30%,7.15%,3.73,177000,0.50,-0.60%,11.20%,46.79,3.24% 3.28%,Yes,4.01,7.00%,8.00%,1.24,101.74,Yes,3.75,Feb 04 AMC,31.00%,2.45M,107.81,2.50,0.05%,-4.63%,-14.70%,"3,035,418",5.97%
MAS,S&P; 500,15.72,1.96,0.40%,316.15M,5.45%,9.72B,11.21,2.74,-24.53%,302.47M,-5.50%,606.00M,1.00,0.57,92.50%,2.56%,-15.73%,8.19B,1.19,9.30%,-0.75%,1.61,-19.15%,0.12,256.17,13.53%,11.20%,38.71,-30.14%,1.80,17.08,15.76%,-,27.03 - 46.44,5.13%,0.48,16.56,64.90%,27.40%,-33.81%,1.38,1.56%,1.10,0.40%,32.40%,13.73%,1.07,26000,1.70,8.00%,13.50%,57.47,3.35% 3.60%,Yes,82.58,22.40%,7.60%,0.94,29.07,Yes,82.53,Jan 29 BMO,20.70%,4.81M,30.74,2.00,4.96%,1.86%,-14.94%,"4,497,439",5.74%
MAT,S&P; 500,-,-2.71,0.10%,356.33M,4.31%,3.71B,176.44,0.06,0.00%,343.74M,-25.38%,-932.50M,-,-0.14,-,16.81%,-31.33%,4.60B,0.81,-466.80%,-0.45%,11.91,-38.66%,1.93,5.39,105.30%,-15.00%,13.85,-35.50%,0.59,17.73,10.00%,-92.70%,9.09 - 18.88,4.20%,-,-,-28.60%,-22.80%,-44.86%,1.36,-,1.20,-5.30%,34.40%,14.52%,0.60,28000,1.70,-7.90%,-13.00%,40.05,6.40% 5.62%,Yes,4.69,101.10%,-18.00%,2.28,9.27,Yes,4.28,Jan 24 AMC,-,4.85M,10.41,2.80,-6.63%,-17.98%,-29.13%,"11,074,145",12.30%
MCD,DJIA S&P500;,23.68,7.53,0.06%,788.43M,1.46%,140.56B,21.67,8.23,-31.45%,770.43M,-3.82%,5.96B,2.55,1.89,69.40%,0.94%,8.27%,21.20B,6.63,32.80%,-0.27%,1.77,13.32%,-8.79,-,6.17%,15.50%,195.44,3.36%,3.27,54.60,9.30%,-101.00%,146.84 - 190.88,0.40%,4.64,157.77,6.20%,26.20%,-6.60%,0.58,2.60%,1.50,-3.70%,50.70%,21.41%,3.61,235000,1.50,-6.70%,42.30%,49.75,1.43% 2.09%,Yes,-,-9.30%,24.60%,0.77,174.90,Yes,-,Jan 22 BMO,60.70%,4.11M,178.28,1.90,-0.58%,-1.32%,7.21%,"3,148,031",1.93%
MCHP,S&P; 500,30.35,2.27,2.20%,244.64M,-3.47%,16.88B,9.58,7.21,-0.24%,231.30M,-11.25%,544.70M,2.43,1.57,-,16.48%,-8.13%,4.64B,3.64,327.10%,5.47%,9.45,-25.09%,21.93,3.15,9.80%,0.20%,98.00,-24.80%,1.90,36.37,12.50%,0.70%,60.70 - 104.20,-4.05%,1.46,19.04,38.00%,15.10%,-33.77%,1.13,2.12%,0.60,20.30%,55.00%,13.69%,2.92,14234,1.00,41.50%,15.50%,46.36,3.70% 3.90%,Yes,2.11,-50.50%,0.60%,0.92,66.32,Yes,1.85,Feb 06 AMC,-,4.03M,69.01,2.00,-2.62%,-2.45%,-18.07%,"3,722,954",4.06%
MCK,S&P; 500,-,-7.99,0.29%,195.58M,2.94%,22.36B,8.07,14.17,-0.72%,195.20M,-10.09%,-1636.00M,-,3.18,88.90%,1.65%,-12.39%,210.93B,0.11,-116.50%,-4.98%,1.80,-15.96%,47.10,2.43,5.71%,0.20%,140.69,-27.07%,10.83,10.56,6.00%,1.20%,106.11 - 178.86,3.49%,1.56,7.74,-21.80%,-1.00%,-36.08%,1.02,1.36%,0.60,11.30%,5.40%,7.75%,3.83,78000,1.00,1.90%,0.30%,45.70,2.73% 3.59%,Yes,0.97,49800.00%,0.10%,0.85,112.94,Yes,0.70,Jan 24 BMO,223.30%,1.79M,114.33,2.60,-1.06%,-6.10%,-14.63%,"1,530,202",1.23%
MCO,S&P; 500,33.27,4.31,0.10%,196.38M,2.38%,28.14B,17.69,8.10,-2.31%,190.60M,-9.43%,837.50M,2.33,1.77,90.80%,2.30%,-13.81%,4.55B,6.19,184.30%,-0.62%,3.23,-16.24%,2.09,68.56,7.56%,12.50%,167.08,-3.75%,5.85,24.51,14.25%,842.60%,129.26 - 187.98,2.31%,1.76,26.06,5.00%,16.20%,-23.78%,1.25,1.23%,1.40,9.00%,71.80%,10.85%,4.71,12621,1.40,1.70%,43.00%,50.47,2.90% 3.22%,Yes,12.38,-2.40%,23.90%,0.84,136.18,Yes,11.21,Jan 25 BMO,30.00%,1.36M,143.28,2.50,1.01%,-2.78%,-13.14%,"1,139,239",5.21%
MDLZ,S&P; 500,18.43,2.22,0.10%,1.50B,1.52%,61.18B,16.42,2.49,-2.30%,1.45B,-9.30%,3.30B,2.28,0.63,77.90%,1.02%,-4.53%,26.13B,2.34,77.30%,0.20%,1.75,-2.44%,17.36,2.35,2.56%,5.50%,48.67,-4.09%,1.09,37.42,8.09%,13.50%,37.42 - 46.54,2.02%,1.04,-,16.20%,6.30%,-12.25%,0.77,2.55%,0.40,-5.90%,40.10%,9.14%,0.96,83000,0.60,-3.70%,13.50%,43.14,1.78% 2.44%,Yes,0.79,25.30%,13.40%,0.90,39.74,Yes,0.58,Jan 28 AMC,37.10%,8.40M,40.84,2.00,-2.77%,-4.36%,-2.24%,"7,555,423",2.77%
MDT,S&P; 500,25.52,3.45,0.10%,1.39B,-1.70%,122.22B,15.90,5.54,-16.26%,1.34B,-10.75%,4.70B,3.03,1.24,84.50%,0.69%,-9.58%,30.38B,4.02,40.40%,-0.01%,1.62,2.58%,36.77,2.40,8.03%,-,104.96,5.02%,7.31,12.06,8.43%,-,76.41 - 100.15,-3.11%,2.00,-,3.80%,8.50%,-12.00%,0.93,2.27%,2.10,12.50%,70.50%,15.34%,2.60,86000,2.60,6.10%,-,43.22,2.49% 2.81%,Yes,0.50,-42.70%,-,0.92,85.45,Yes,0.48,Nov 20 BMO,-,5.72M,88.13,2.20,-3.90%,-4.58%,-1.31%,"5,235,290",3.14%
MET,S&P; 500,8.78,4.82,0.10%,996.90M,3.25%,42.15B,7.65,5.53,-10.91%,836.85M,-5.67%,5.01B,0.53,1.31,79.20%,1.44%,-10.08%,68.28B,0.62,35.70%,-1.20%,1.58,-2.94%,52.00,0.81,3.56%,0.70%,51.56,-16.28%,12.53,3.37,16.59%,9.60%,37.76 - 55.21,2.97%,1.68,3.90,31.80%,7.50%,-23.42%,1.20,3.97%,-,-1.90%,-,11.97%,1.38,49000,-,0.70%,8.80%,56.95,2.48% 3.52%,Yes,0.33,7.30%,7.80%,0.78,40.87,Yes,0.32,Jan 31 AMC,31.90%,7.61M,42.28,2.40,5.65%,0.58%,-6.21%,"5,961,875",3.45%
MGM,S&P; 500,31.85,0.81,0.30%,540.23M,8.55%,13.92B,19.84,1.30,-10.38%,487.38M,-8.03%,450.80M,8.61,0.10,82.50%,3.53%,-6.39%,11.31B,1.23,-51.30%,-2.39%,1.94,-9.29%,12.66,2.04,15.57%,6.30%,33.17,-22.68%,2.41,10.69,3.70%,25.90%,21.61 - 38.41,6.22%,0.48,98.25,17.70%,7.10%,-32.91%,1.35,1.86%,0.70,3.30%,41.30%,19.22%,1.15,52000,0.70,7.20%,12.00%,52.28,4.28% 4.73%,Yes,2.16,0.00%,16.40%,1.34,24.70,Yes,2.16,Jan 29 AMC,14.30%,8.85M,25.77,2.10,3.03%,-0.18%,-12.15%,"11,815,603",4.33%
MHK,S&P; 500,9.97,12.25,0.80%,75.47M,3.62%,9.22B,10.30,11.85,-,60.17M,-3.31%,918.00M,3.73,2.51,81.00%,5.90%,-28.52%,9.90B,0.93,8.90%,-3.84%,2.62,-43.84%,101.39,1.20,-3.70%,6.90%,142.72,-55.61%,1.21,100.84,2.68%,11.90%,109.35 - 282.21,4.42%,-,28.84,30.30%,10.80%,-56.72%,1.41,-,0.80,10.40%,30.20%,11.69%,4.75,38800,1.50,4.00%,12.40%,53.64,3.65% 3.98%,Yes,0.38,-16.00%,8.80%,0.76,116.90,Yes,0.20,Jan 24 AMC,0.00%,1.35M,122.13,2.60,3.77%,-1.71%,-33.80%,"1,033,943",4.47%
